"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-01","6.71"," 1515"," 1505","0.13",,,,,"81","57",,"  290","  280","0.0","23.9","38.9","    1",,,,"    1","    1","    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-02","8.50"," 0533"," 0523","0.00",,,,,"65","49",,"  340","  320","0.0","16.1","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-03","6.93"," 1759"," 1840","0.00",,,,,"62","47",,"  340","  320","0.0","14.1","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-04","7.83"," 2112"," 1240","0.00",,,,,"61","44",,"  300","  310","0.0","14.1","19.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-05","6.49"," 2342"," 2243","0.00",,,,,"60","43",,"  310","  310","0.0","17.0","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-06","6.93"," 1217"," 1511","0.00",,,,,"58","40",,"  340","  340","0.0","15.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-07","3.36"," 0647"," 0646","0.00",,,,,"62","44",,"  330","  340","0.0","8.9","13.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-08","3.58"," 1442"," 1352","0.00",,,,,"74","49",,"  210","  200","0.0","15.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-09","10.07"," 0725"," 0708","0.44",,,,,"63","38",,"  340","  330","0.0","19.9","30.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-10","11.18"," 0905"," 0533","0.00",,,,,"48","35",,"  330","  310","0.0","19.9","30.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-11","7.61"," 1350"," 1401","0.00",,,,,"62","36",,"  330","  350","0.0","14.1","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-12","6.71"," 1116"," 1145","0.00",,,,,"63","43",,"  330","  300","0.0","15.0","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-13","6.71"," 1735"," 1749","0.00",,,,,"66","47",,"  340","  330","0.0","11.0","17.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-14","4.92"," 1425"," 1430","0.00",,,,,"75","54",,"   90","   80","0.0","14.1","17.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-15","9.62"," 1533"," 1240","0.00",,,,,"79","63",,"  110","  140","0.0","19.9","28.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-16","13.87"," 1315"," 1143","0.00",,,,,"81","71",,"  110","  120","0.0","25.1","34.9",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-17","10.51"," 1129"," 1128","0.28",,,,,"81","68",,"  260","  260","0.0","23.9","30.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-18","5.37"," 1354"," 1418","0.00",,,,,"77","63",,"  290","  310","0.0","13.0","17.0","    1",,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-19","3.36"," 1432"," 0428","0.00",,,,,"70","57",,"  250","  330","0.0","8.1","12.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-20","3.80"," 1710"," 1709","0.00",,,,,"80","56",,"  130","  130","0.0","12.1","17.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-21","10.51"," 1236"," 1319","0.00",,,,,"83","71",,"  170","  170","0.0","21.9","31.1","    1",,,,,,,,,,"    1",,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-22","10.07"," 1335"," 1332","0.00",,,,,"86","74",,"  250","  250","0.0","23.9","32.0","    1",,,,,,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-23","8.05"," 1654"," 2111","0.00",,,,,"83","72",,"   90","  120","0.0","19.9","23.9","    1","    1",,,"    1",,,"    1",,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-24","13.87"," 1314"," 1311","0.00",,,,,"81","73",,"  140","  130","0.0","23.9","36.0",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-25","12.08"," 1108"," 1007","0.03",,,,,"83","60",,"  180","  180","0.0","23.9","34.9","    1",,,,,,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-26","5.82"," 1048"," 1259","0.00",,,,,"73","55",,"  360","   20","0.0","13.0","17.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-27","6.04"," 1620"," 1358","0.00",,,,,"74","55",,"   80","   70","0.0","14.1","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-28","6.49"," 1256"," 0913","0.00",,,,,"77","59",,"   90","   80","0.0","15.0","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-29","8.72"," 1209"," 1514","0.00",,,,,"79","66",,"   90","  110","0.0","17.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-30","9.17"," 1121"," 1042","0.00",,,,,"83","71",,"  160","  140","0.0","17.9","28.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01-31","7.61"," 2345"," 2345","0.01",,,,,"74","68",,"   60","   70","0.0","15.0","17.9","    1",,,,"    1",,"    1",,,,"    1","    1","    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-01","8.95"," 0031"," 1348","2.90",,,,,"75","68",,"  100","   50","0.0","16.1","21.0","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-02","4.92"," 1614"," 1613","0.28",,,,,"83","70",,"  200","  190","0.0","16.1","21.9","    1",,"    1",,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-03","7.61"," 1527"," 1458","0.00",,,,,"78","65",,"   70","   70","0.0","15.0","19.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-04","9.84"," 1042"," 2245","0.00",,,,,"78","64",,"  100","  100","0.0","17.9","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-05","12.53"," 1312"," 1143","0.08",,,,,"83","72",,"  160","  170","0.0","19.9","30.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-06","11.18"," 1417"," 1517","0.00",,,,,"79","59",,"  260","  280","0.0","25.1","32.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-07","6.71"," 1257"," 1202","0.00",,,,,"66","56",,"  300","  310","0.0","16.1","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-08","6.26"," 1612"," 1429","0.00",,,,,"71","51",,"  100","  100","0.0","15.0","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-09","10.29"," 1119"," 1122","0.01",,,,,"79","62",,"  150","  150","0.0","19.9","28.0",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-10","9.84"," 0735"," 0858","0.00",,,,,"70","52",,"  310","  290","0.0","21.0","29.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-11","5.14"," 0036"," 0036","0.00",,,,,"66","46",,"  310","  310","0.0","15.0","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-12","9.84"," 1821"," 1820","0.46",,,,,"79","56",,"  260","  250","0.0","34.9","49.0","    1",,"    1",,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-13","9.62"," 0135"," 0801","0.00",,,,,"66","51",,"  310","  320","0.0","21.0","30.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-14","5.59"," 0144"," 0156","0.00",,,,,"63","45",,"  330","  320","0.0","13.0","17.0",,,,,,,"    1",,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-15","5.82"," 1544"," 1543","0.00",,,,,"74","53",,"  160","  160","0.0","15.0","25.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-16","7.83"," 0811"," 0804","0.02",,,,,"67","53",,"  330","  340","0.0","16.1","23.0",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-17","8.05"," 1645"," 1331","0.00",,,,,"66","49",,"  310","  280","0.0","17.0","29.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-18","4.25"," 1020"," 0912","0.00",,,,,"66","51",,"  330","  340","0.0","15.0","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-19","2.91"," 0748"," 0739","0.00",,,,,"68","50",,"  340","  340","0.0","8.9","14.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-20","3.36"," 1321"," 0755","0.00",,,,,"76","56",,"  100","   30","0.0","14.1","25.1",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-21","7.16"," 1450"," 1421","0.02",,,,,"77","59",,"  110","  170","0.0","16.1","23.9",,,,,"    1",,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-22","11.18"," 1201"," 1358","0.22",,,,,"73","66",,"  170","  130","0.0","23.0","31.1","    1",,,,"    1","    1","    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-23","3.80"," 1608"," 1632","0.00",,,,,"83","63",,"  130","  150","0.0","12.1","16.1","    1","    1",,,"    1",,,"    1",,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-24","6.93"," 2241"," 2250","0.54",,,,,"82","61",,"  320","  310","0.0","19.9","29.1","    1",,,,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-25","10.07"," 1059"," 0352","0.00",,,,,"65","51",,"  330","  280","0.0","19.9","30.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-26","5.59"," 0811"," 0902","0.00",,,,,"68","46",,"  340","  360","0.0","15.0","19.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-27","7.61"," 1554"," 1625","0.16",,,,,"75","50",,"  220","  310","0.0","25.1","33.1","    1",,,,"    1",,"    1",,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02-28","8.05"," 1221"," 1152","0.00",,,,,"68","50",,"  340","  320","0.0","16.1","23.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-01","6.26"," 1836"," 1836","0.00",,,,,"70","49",,"  140","  140","0.0","15.0","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-02","12.75"," 1044"," 1549","0.14",,,,,"79","61",,"  190","  250","0.0","25.9","34.9","    1",,,,"    1",,,,,,"    1",,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-03","11.63"," 1746"," 1746","0.00",,,,,"66","53",,"  280","  300","0.0","21.0","28.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-04","8.50"," 1350"," 1549","0.00",,,,,"67","49",,"  270","  310","0.0","17.9","23.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-05","6.49"," 1440"," 1321","0.00",,,,,"66","44",,"  300","  300","0.0","14.1","21.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-06","6.49"," 0802"," 1619","0.00",,,,,"72","50",,"  350","   90","0.0","14.1","17.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-07","6.71"," 1702"," 1704","0.00",,,,,"74","53",,"   90","   80","0.0","16.1","21.9",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-08","3.58"," 1534"," 1429","0.00",,,,,"76","55",,"  120","  130","0.0","13.0","17.0",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-09","5.59"," 1655"," 1356","0.00",,,,,"76","59",,"  120","  160","0.0","15.0","21.9",,,,,,,,,,,,,"    1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-10","11.18"," 1528"," 1443","0.00",,,,,"79","64",,"  130","  140","0.0","19.9","29.1",,,,,,,,,,,,,
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03-11","13.20"," 1342"," 1723","0.00",,,,,"80","71",,"  150","  160","0.0","23.0","31.1","    1",,,,"    1",,,,,,"    1",,"    1"
